"siteID","wgt","scntfcn","accessr","dtcllct","collctr","doy","uuid"
"Base-054",24.2816770186335,"achnatherum hymenoides","https://api.idigbio.org/v2/media/bf7095973ffac37431d8e88dc538fe71",2016-04-01,"mary welty",92,"d0c8b510-2ffb-417a-a609-d46323f9b7b1"
"Base-055",14.2287534121929,"achnatherum hymenoides","https://api.idigbio.org/v2/media/1e0356397a0be659c22336bba45ed96c",1983-06-06,"salazar",157,"d78c93be-47e0-44d6-bfe6-d5824933d747"
"Base-056",8.30451407328731,"achnatherum hymenoides","https://api.idigbio.org/v2/media/fd7b568564b361753b9a5e83dd41733c",2006-09-26,"g. rink",269,"4ac049d2-1fe6-4618-8eef-231a2afb91ca"
"Base-057",15.9565306122449,"achnatherum hymenoides","https://api.idigbio.org/v2/media/ebcbe14b316f59b2f693e829934920ff",1991-05-20,"rj shaw",140,"8cedb74e-eca4-498b-ae89-e009bc828a90"
"Base-058",13.0638262322473,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=ID183549.jpg",2010-06-20,"joshua j. irwin",171,"3eb2236e-c25a-4045-8a5c-624a638d6bcf"
"Base-059",9.75508421709295,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/00960/00960443.jpg",1999-08-17,"ronald l. hartman",229,"0875f80b-32ea-4eec-84ef-8b977f236ada"
"Base-060",13.6214285714286,"achnatherum hymenoides","https://herbarium.sanjuancollege.edu/herbphotos/SJNM-V-005/SJNM-V-0054516.jpg",1997-06-13,"reeves",164,"f69a32fc-97dd-43c5-a080-2d2ba0b8280e"
"Base-061",16.6710021321962,"achnatherum hymenoides","https://api.idigbio.org/v2/media/c7a75a609e9e06e2c949cb6e3db8ebc6",2015-05-14,"walter fertig",134,"863632d7-12db-4912-9de3-67ce181ba0e7"
"Base-062",15.9565306122449,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=ID022134.jpg",2003-05-20,"j. f. smith",140,"cce691a3-c513-4731-883c-07607ee91554"
"Base-063",9.34692169754931,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/00422/00422162.jpg",1977-08-27,"john w. marr",239,"e7662a9c-aeec-46ef-91d1-58543fff86b0"
"Base-064",9.50601823708207,"achnatherum hymenoides","https://ngpherbaria.org/imglib/storage/portals/seinet/ngreatplains/BHSC/BHSC0060/BHSC0060617_1574027926_lg.jpg",2011-08-23,"ecological solutions group",235,"4ea4f960-9ef6-4024-bf9a-677bb5e29a30"
"Base-065",13.5388744588745,"achnatherum hymenoides","https://api.idigbio.org/v2/media/b9a0312395ed8c62b14672a4da88bfca",2005-06-14,"m. madsen",165,"4f892f65-fa59-48a8-a448-4e6b8a87976a"
"Base-066",13.0638262322473,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=BBLM-OWY005047.jpg",2013-06-20,"j. irwin",171,"75423d00-6db1-42cd-a03f-ad3fc8b4eaa7"
"Base-067",13.1406722689076,"achnatherum hymenoides","https://botanydb.colorado.edu/botany/COLO_V/02080/02080844.jpg",1990-06-19,"james p. vanderhorst",170,"0fc9917e-5161-45bd-ba20-86463fa348e1"
"Base-068",12.1408385093168,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/00418/00418616.jpg",1995-07-03,"donald l. hazlett",184,"0270696f-6831-4346-8d21-c1f6b4e5429c"
"Base-069",12.0752123552124,"achnatherum hymenoides","https://bisque.cyverse.org/image_service/image/00-wowF8iaiEKENxCb38Uw7Rj/resize:4000/format:jpeg",1990-07-04,"l. p. janeway",185,"5c8f0632-efdd-4995-8d02-1608b68125fe"
"Base-070",12.9878737541528,"achnatherum hymenoides","https://api.idigbio.org/v2/media/eaa13422840ad6a5fc45c71d579e60f0",1981-06-21,"noel h. holmgren",172,"4ebf6f5e-f3ef-47f8-8112-de498e874019"
"Over-071",13.1406722689076,"achnatherum hymenoides","https://api.idigbio.org/v2/media/e194b7caa1f4843c68775b5a8a4622dd",1983-06-19,"ronald l. hartman",170,"d95808ad-b6e6-4ef8-a281-d45715a8a234"
"Over-072",14.5059369202226,"achnatherum hymenoides","https://api.idigbio.org/v2/media/37d89f40f4ca78c8d5a21892bc49a805",1971-06-03,"rr halse",154,"378f9ad5-568b-48b6-936b-2f3ef8345ddc"
"Over-073",8.93565714285714,"achnatherum hymenoides","https://api.idigbio.org/v2/media/5a0d151069e15c51f02e7478898a9488",1971-09-07,"j. davey",250,"aaab2110-6caf-414b-bd1b-6ae3ce166e14"
"Over-074",8.97154331612163,"achnatherum hymenoides","http://n2t.net/ark:/65665/m3572eb4a6-1ec2-460d-9f56-c7ecc7361d41",2019-09-06,"d. pensinger & k. hankins",249,"bbbebcf1-a3e3-4634-9bfa-51ace09a6b23"
"Over-075",13.1406722689076,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/01812/01812270.jpg",2012-06-18,"pam regensberg",170,"72f7f20b-cf82-4be3-9bc9-e369711f454c"
"Over-076",8.76044817927171,"achnatherum hymenoides","https://herbarium.sanjuancollege.edu/herbphotos/SJNM-V-004/SJNM-V-0048966.jpg",2002-09-12,"heil",255,"8e49889e-5656-43ac-be7a-64cf306cc08c"
"Over-077",17.7294784580499,"achnatherum hymenoides","https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00056/DES00056827_lg.jpg",2005-05-06,"wendy c. hodgson",126,"9f06cef0-d8e0-4b8e-adf8-9f8614ed9752"
"Over-078",15.0940154440154,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=CIC040014.jpg",2010-05-28,"hatcher",148,"55075e73-1124-43e1-9f13-e676fd8eb3a8"
"Over-079",14.1386980108499,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/01412/01412790.jpg",2009-06-07,"laura e. lukas",158,"c39625b4-935d-49c7-bafd-1f399983bb84"
"Over-080",11.3975218658892,"achnatherum hymenoides","https://api.idigbio.org/v2/media/be63e3f19b40fb0f34603c02f4538597",1972-07-14,"m.l. kravig",196,"dd0839cd-6b89-4ee4-800e-d9577463e7d4"
"Over-081",16.6710021321962,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=PSM08579.jpg",1975-05-14,"george a. pearson",134,"08563d32-d354-4f7d-a071-194eb7d1b294"
"Over-082",13.5388744588745,"achnatherum hymenoides","https://api.idigbio.org/v2/media/09296942bd0f1509051280555bacfd5d",1985-06-14,"mary e. barkworth",165,"e3dfebbf-712b-4a62-8942-0f61fb018d78"
"Over-083",13.0638262322473,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/01412/01412816.jpg",2002-06-20,"peter ebertowski",171,"835c79ca-4530-410b-b4fb-3cf870449008"
"Over-084",9.26935388263189,"achnatherum hymenoides","https://api.idigbio.org/v2/media/dd1159ee133632a147e154bdb081536a",1981-08-29,"alan t. carpenter",241,"af49bf6b-1f9b-4063-8ed8-0bbef81f7ee0"
"Over-085",14.3199633699634,"achnatherum hymenoides","https://api.idigbio.org/v2/media/50aed1d4e97fafbebb6e741866782bac",2011-06-05,"g. goodwin",156,"13e64911-732e-4912-aa37-07fcfb87cee5"
"Over-086",18.6159523809524,"achnatherum hymenoides","https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0061/ASU0061932_lg.jpg",1978-04-30,"gregory k. brown",120,"ca434590-46df-477d-89df-8e4c559f7ab5"
"Over-087",11.1695714285714,"achnatherum hymenoides","https://api.idigbio.org/v2/media/638572a4d00ed6e1c1af17397aba61ab",2016-07-18,"john lynch",200,"7cf91275-b539-4853-b149-18e607a8c1ed"
"Over-088",13.5388744588745,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/00782/00782698.jpg",2003-06-14,"tim hogan",165,"a2556b05-acec-4a0a-aa96-504244d1cb9d"
"Over-089",19.4253416149068,"achnatherum hymenoides","https://api.idigbio.org/v2/media/a52e78a019fab2d56d17c736297a3f45",2013-04-25,"g. goodwin",115,"483e7d3a-9436-4c80-8a9a-e226a5a7ffb5"
